"","n","k","runtime"
"193",940001,2001,8.54400000000032
"194",960001,2001,15.1189999999997
"195",980001,2001,8.40299999999979
"196",1000001,2001,9.09099999999989
"197",1020001,2001,5.89099999999962
"198",1040001,2001,20.252
"199",1060001,2001,8.08699999999999
"200",1080001,2001,9.31399999999985
"201",1100001,2001,4.39199999999983
"202",1120001,2001,4.91300000000001
"203",1140001,2001,4.12300000000005
"204",1160001,2001,4.56899999999996
"205",1180001,2001,2.87000000000035
"206",1200001,2001,3.62100000000009
"207",1220001,2001,4.96199999999999
"208",1240001,2001,3.53400000000011
"209",1260001,2001,6.16300000000001
"210",1280001,2001,14.3240000000001
"211",1300001,2001,19.5529999999999
"212",1320001,2001,9.65999999999985
"213",1340001,2001,5.17000000000007
"214",1360001,2001,18.0999999999999
"215",1380001,2001,5.72499999999991
"216",1400001,2001,9.42099999999982
"217",1420001,2001,6.28200000000015
"218",1440001,2001,6.44000000000005
"219",1460001,2001,8.79799999999977
"220",1480001,2001,8.22199999999975
"221",1500001,2001,6.279
"222",1520001,2001,17.4760000000001
"223",1540001,2001,36.3969999999999
"224",1560001,2001,16.3140000000003
"225",1580001,2001,18.1150000000002
"226",1600001,2001,10.951
"227",1620001,2001,9.15599999999995
"228",1640001,2001,8.07499999999982
"229",1660001,2001,6.32100000000037
"230",1680001,2001,6.30700000000024
"231",1700001,2001,9.88599999999951
"232",1720001,2001,11.1239999999998
"233",1740001,2001,10.5899999999992
"234",1760001,2001,15.8389999999999
"235",1780001,2001,11.8499999999995
"236",1800001,2001,16.2190000000001
"237",1820001,2001,10.0879999999997
"238",1840001,2001,8.7480000000005
"239",1860001,2001,8.61599999999999
"240",1880001,2001,8.69599999999991
"241",1900001,2001,13.558
"242",1920001,2001,8.24099999999999
"243",1940001,2001,7.97400000000016
"244",1960001,2001,10.9190000000008
"245",1980001,2001,12.6150000000007
"246",2000001,2001,8.97299999999996
"247",2020001,2001,9.42100000000028
"248",2040001,2001,8.33399999999983
"249",2060001,2001,12.3720000000003
"250",2080001,2001,10.8400000000001
"251",2100001,2001,9.24299999999948
"252",2120001,2001,8.05400000000009
"253",2140001,2001,7.97700000000077
"254",2160001,2001,15.2739999999994
"255",2180001,2001,14.9260000000004
"256",2200001,2001,19.5479999999998
"257",2220001,2001,11.6970000000001
"258",2240001,2001,15.0259999999998
"259",2260001,2001,15.326
"260",2280001,2001,15.1549999999997
"261",2300001,2001,10.8379999999997
"262",2320001,2001,10.2090000000007
"263",2340001,2001,19.4560000000001
"264",2360001,2001,11.7560000000003
"265",2380001,2001,13.9980000000005
"266",2400001,2001,15.973
"267",2420001,2001,13.0829999999996
"268",2440001,2001,10.5910000000003
"269",2460001,2001,10.7960000000003
"270",2480001,2001,11.3299999999999
"271",2500001,2001,11.5900000000001
"272",2520001,2001,20.3799999999992
